	age	sex	batch
SAMPLE209	61	0	1
SAMPLE210	36	1	1
SAMPLE211	44	1	2
SAMPLE212	51	1	2
SAMPLE213	42	1	1
SAMPLE214	60	0	2
SAMPLE215	60	1	3
SAMPLE216	53	0	3
SAMPLE217	40	1	1
SAMPLE218	47	1	2
SAMPLE219	48	1	2
SAMPLE220	37	0	1
SAMPLE221	69	1	3
SAMPLE222	70	1	3
SAMPLE223	49	1	3
SAMPLE224	43	1	1
SAMPLE225	56	0	3
SAMPLE226	52	1	1
SAMPLE227	57	1	2
SAMPLE228	54	0	1
SAMPLE229	61	1	1
SAMPLE230	52	1	2
SAMPLE231	48	1	2
SAMPLE232	49	1	3
SAMPLE233	43	0	2
SAMPLE234	61	0	3
SAMPLE235	51	1	2
SAMPLE236	54	0	3
SAMPLE237	40	0	2
SAMPLE238	33	0	3
SAMPLE239	42	1	2
SAMPLE240	51	0	2
SAMPLE241	41	0	2
SAMPLE242	69	0	2
SAMPLE243	46	1	2
SAMPLE244	49	1	3
SAMPLE245	45	1	1
SAMPLE246	47	0	1
SAMPLE247	53	1	1
SAMPLE248	58	1	2
SAMPLE249	45	0	2
SAMPLE250	55	1	3
SAMPLE251	28	1	1
SAMPLE252	55	0	1
SAMPLE253	61	1	1
SAMPLE254	54	0	1
SAMPLE255	39	1	1
SAMPLE256	42	0	2
SAMPLE257	61	1	1
SAMPLE258	56	1	3
SAMPLE259	52	1	3
SAMPLE260	47	1	3
SAMPLE261	45	0	1
SAMPLE262	47	0	1
SAMPLE263	58	0	2
SAMPLE264	37	0	1
SAMPLE265	56	0	3
SAMPLE266	31	0	1
SAMPLE267	31	1	3
SAMPLE268	33	0	1
SAMPLE269	56	0	2
SAMPLE270	46	0	3
SAMPLE271	34	1	2
SAMPLE272	60	0	2
SAMPLE273	62	1	1
SAMPLE274	81	0	1
SAMPLE275	60	1	1
SAMPLE276	48	0	1
SAMPLE277	48	1	2
SAMPLE278	56	1	1
SAMPLE279	61	1	3
SAMPLE280	64	0	1
SAMPLE281	27	0	1
SAMPLE282	53	0	3
SAMPLE283	70	1	2
SAMPLE284	32	1	1
SAMPLE285	27	0	3
SAMPLE286	40	1	3
SAMPLE287	55	1	2
SAMPLE288	34	0	2
SAMPLE289	48	1	2
SAMPLE290	42	1	1
SAMPLE291	60	0	2
SAMPLE292	40	0	3
SAMPLE293	64	0	1
SAMPLE294	61	0	2
SAMPLE295	41	1	2
SAMPLE296	67	0	1
SAMPLE297	46	0	3
SAMPLE298	45	1	2
SAMPLE299	50	0	1
SAMPLE300	51	1	2
